business_id,name,address,city,state,postal_code,latitude,longitude,stars_restaurant,review_count,is_open,attributes,categories,hours,url
9YTVzkdH3_vlY94D3vd2-w,Mark's Midtown Coney Island,3672 S State St,Ann Arbor,MI,48108,42.2335650358431,-83.7395063536909,4.0,77,True,"{'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'TV': 'True', 'Takes Reservations': 'False', 'Offers Delivery': 'False', 'Accepts Android Pay': 'False', 'Accepts Apple Pay': 'False', 'Outdoor Seating': 'False', 'Offers Catering': 'False', 'Bike Parking': 'False'}",American (Traditional),"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '7:0-17:0', 'Sunday': '7:30-15:0'}",https://www.yelp.com/biz/marks-midtown-coney-island-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
__vA4mhjEGBOdHr9lUvC4w,Thai Spoon,4119 Stone School Rd,Ann Arbor,MI,48108,42.22835,-83.718843,3.5,33,True,"{'Offers Takeout': 'True', 'Masks required': 'True', 'Staff wears masks': 'True'}",Thai,"{'Monday': '11:0-20:15', 'Tuesday': '11:0-20:15', 'Wednesday': '11:0-20:15', 'Thursday': '11:0-20:15', 'Friday': '11:0-20:15', 'Saturday': '12:0-20:15'}",https://www.yelp.com/biz/thai-spoon-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
f8_Nxil5z7fTVi1jrvn3MQ,Maizie's Kitchen And Market,911 N University Ave,Ann Arbor,MI,48104,42.2791052768842,-83.7375184577149,3.5,5,True,{'TV': 'True'},Mediterranean,"{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",https://www.yelp.com/biz/maizies-kitchen-and-market-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
XJHSuPnrbEABxiGvLkXo1A,Zola Bistro,3030 Washtenaw Ave,Ann Arbor,MI,48104,42.25697533,-83.69895967,3.0,393,True,"{'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Waiter Service': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Dogs Allowed': 'False'}","French, Turkish, Italian","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-21:0'}",https://www.yelp.com/biz/zola-bistro-ann-arbor-2?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
3or9a1MgzYNf8UBuY3VoWw,Ray's Red Hots,629 E University Ave,Ann Arbor,MI,48104,42.2739030890359,-83.7356832254851,3.5,106,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Masks required': 'True', 'Staff wears masks': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Accepts Android Pay': 'True', 'Accepts Apple Pay': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'TV': 'True', 'Offers Military Discount': 'True', 'Open to All': 'True', 'Bike Parking': 'True', 'Takes Reservations': 'False', 'Accepts Cryptocurrency': 'False', 'Waiter Service': 'False', 'Drive-Thru': 'False', 'Dogs Allowed': 'False', 'Wheelchair Accessible': 'False'}","Hot Dogs, Food Stands, Burgers","{'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '12:0-20:0'}",https://www.yelp.com/biz/rays-red-hots-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
t7zMY-nrQo09-UGtxOIugg,Tio's Restaurant,401 E Liberty St,Ann Arbor,MI,48104,42.2794575244188,-83.7438514083624,3.0,332,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'TV': 'True', 'Takes Reservations': 'False', 'Accepts Android Pay': 'False', 'Accepts Apple Pay': 'False', 'Bike Parking': 'False'}",Mexican,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}",https://www.yelp.com/biz/tios-restaurant-ann-arbor-2?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
BdKTLyNTEH-xo2qgsgvRxg,P.F. Chang's,720 Briarwood Cir,Ann Arbor,MI,48108,42.2414486926749,-83.7451316267283,3.0,170,True,"{'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Staff wears masks': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Waiter Service': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Accepts Apple Pay': 'False', 'Happy Hour': 'False', 'Dogs Allowed': 'False'}","Asian Fusion, Chinese","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",https://www.yelp.com/biz/p-f-changs-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
7ob4lSiTj5zlzoLnhY4jOA,Miki Japanese Restaurant,106 S 1st St,Ann Arbor,MI,48104,42.281311,-83.7511444,3.5,234,True,"{'Health Score': 'True', 'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Offers Catering': 'False', 'Dogs Allowed': 'False'}","Japanese, Sushi Bars","{'Tuesday': '16:30-21:30', 'Wednesday': '16:30-21:30', 'Thursday': '16:30-22:15', 'Friday': '16:30-22:15', 'Saturday': '16:30-22:15', 'Sunday': '16:0-21:15'}",https://www.yelp.com/biz/miki-japanese-restaurant-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
tprGFujwN1VOYs6pNGlbXQ,Relish,610 Hilton Blvd,Ann Arbor,MI,48108,42.2389057864148,-83.7405758873213,3.5,47,True,"{'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Waiter Service': 'True', 'Wheelchair Accessible': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Outdoor Seating': 'False', 'Good For Dancing': 'False'}","Bars, Breakfast & Brunch, American (Traditional)","{'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '6:30-11:0', 'Saturday': '6:30-11:0, 16:0-22:0', 'Sunday': '6:30-11:0'}",https://www.yelp.com/biz/relish-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
NuIAr4kgN_OiAJEAKSDmzQ,Palm Palace,2370 Carpenter Rd,Ann Arbor,MI,48108,42.25342,-83.6813,4.0,488,True,"{'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Masks required': 'True', 'Staff wears masks': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Waiter Service': 'True', 'Wheelchair Accessible': 'True', 'Offers Military Discount': 'True', 'Bike Parking': 'True', 'Accepts Android Pay': 'False', 'Accepts Apple Pay': 'False', 'Accepts Cryptocurrency': 'False', 'Happy Hour': 'False', 'TV': 'False'}","Middle Eastern, Mediterranean","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-22:0'}",https://www.yelp.com/biz/palm-palace-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
